PassengerId,Pclass,Sex adj,Age,SibSp,Parch,Tick adj,Fare,Embarked adj,Survived
1,3,1,22,1,0,21171,7.25,2,0
2,1,0,38,1,0,17599,71.2833,0,1
3,3,0,26,0,0,3101282,7.925,2,1
4,1,0,35,1,0,113803,53.1,2,1
5,3,1,35,0,0,373450,8.05,2,0
6,3,1,30,0,0,330877,8.4583,1,0
7,1,1,54,0,0,17463,51.8625,2,0
8,3,1,2,3,1,349909,21.075,2,0
9,3,0,27,0,2,347742,11.1333,2,1
10,2,0,14,1,0,237736,30.0708,0,1
11,3,0,4,1,1,9549,16.7,2,1
12,1,0,58,0,0,113783,26.55,2,1
13,3,1,20,0,0,2151,8.05,2,0
14,3,1,39,1,5,347082,31.275,2,0
15,3,0,14,0,0,350406,7.8542,2,0
16,2,0,55,0,0,248706,16,2,1
17,3,1,2,4,1,382652,29.125,1,0
18,2,1,30,0,0,244373,13,2,1
19,3,0,31,1,0,345763,18,2,0
20,3,0,35,0,0,2649,7.225,0,1
21,2,1,35,0,0,239865,26,2,0
22,2,1,34,0,0,248698,13,2,1
23,3,0,15,0,0,330923,8.0292,1,1
24,1,1,28,0,0,113788,35.5,2,1
25,3,0,8,3,1,349909,21.075,2,0
26,3,0,38,1,5,347077,31.3875,2,1
27,3,1,30,0,0,2631,7.225,0,0
28,1,1,19,3,2,19950,263,2,0
29,3,0,21,0,0,330959,7.8792,1,1
30,3,1,30,0,0,349216,7.8958,2,0
31,1,1,40,0,0,17601,27.7208,0,0
32,1,0,35,1,0,17569,146.5208,0,1
33,3,0,21,0,0,335677,7.75,1,1
34,2,1,66,0,0,24579,10.5,2,0
35,1,1,28,1,0,17604,82.1708,0,0
36,1,1,42,1,0,113789,52,2,0
37,3,1,30,0,0,2677,7.2292,0,1
38,3,1,21,0,0,2152,8.05,2,0
39,3,0,18,2,0,345764,18,2,0
40,3,0,14,1,0,2651,11.2417,0,1
41,3,0,40,1,0,7546,9.475,2,0
42,2,0,27,1,0,11668,21,2,0
43,3,1,30,0,0,349253,7.8958,0,0
44,2,0,3,1,2,2123,41.5792,0,1
45,3,0,19,0,0,330958,7.8792,1,1
46,3,1,30,0,0,23567,8.05,2,0
47,3,1,30,1,0,370371,15.5,1,0
48,3,0,21,0,0,14311,7.75,1,1
49,3,1,30,2,0,2662,21.6792,0,0
50,3,0,18,1,0,349237,17.8,2,0
51,3,1,7,4,1,3101295,39.6875,2,0
52,3,1,21,0,0,39886,7.8,2,0
53,1,0,49,1,0,17572,76.7292,0,1
54,2,0,29,1,0,2926,26,2,1
55,1,1,65,0,1,113509,61.9792,0,0
56,1,1,30,0,0,19947,35.5,2,1
57,2,0,21,0,0,31026,10.5,2,1
58,3,1,28.5,0,0,2697,7.2292,0,0
59,2,0,5,1,2,34651,27.75,2,1
60,3,1,11,5,2,2144,46.9,2,0
61,3,1,22,0,0,2669,7.2292,0,0
62,1,0,38,0,0,113572,80,2,1
63,1,1,45,1,0,36973,83.475,2,0
64,3,1,4,3,2,347088,27.9,2,0
65,1,1,30,0,0,17605,27.7208,0,0
66,3,1,3.5,1,1,2661,15.2458,0,1
67,2,0,29,0,0,29395,10.5,2,1
68,3,1,19,0,0,3464,8.1583,2,0
69,3,0,17,4,2,3101281,7.925,2,1
70,3,1,26,2,0,315151,8.6625,2,0
71,2,1,32,0,0,33111,10.5,2,0
72,3,0,16,5,2,2144,46.9,2,0
73,2,1,21,0,0,14879,73.5,2,0
74,3,1,26,1,0,2680,14.4542,0,0
75,3,1,32,0,0,1601,56.4958,2,1
76,3,1,25,0,0,348123,7.65,2,0
77,3,1,30,0,0,349208,7.8958,2,0
78,3,1,30,0,0,374746,8.05,2,0
79,2,1,0.83,0,2,248738,29,2,1
80,3,0,30,0,0,364516,12.475,2,1
81,3,1,22,0,0,345767,9,2,0
82,3,1,29,0,0,345779,9.5,2,1
83,3,0,21,0,0,330932,7.7875,1,1
84,1,1,28,0,0,113059,47.1,2,0
85,2,0,17,0,0,14885,10.5,2,1
86,3,0,33,3,0,3101278,15.85,2,1
87,3,1,16,1,3,6608,34.375,2,0
88,3,1,30,0,0,392086,8.05,2,0
89,1,0,23,3,2,19950,263,2,1
90,3,1,24,0,0,343275,8.05,2,0
91,3,1,29,0,0,343276,8.05,2,0
92,3,1,20,0,0,347466,7.8542,2,0
93,1,1,46,1,0,5734,61.175,2,0
94,3,1,26,1,2,2315,20.575,2,0
95,3,1,59,0,0,364500,7.25,2,0
96,3,1,30,0,0,374910,8.05,2,0
97,1,1,71,0,0,17754,34.6542,0,0
98,1,1,23,0,1,17759,63.3583,0,1
99,2,0,34,0,1,231919,23,2,1
100,2,1,34,1,0,244367,26,2,0
101,3,0,28,0,0,349245,7.8958,2,0
102,3,1,30,0,0,349215,7.8958,2,0
103,1,1,21,0,1,35281,77.2875,2,0
104,3,1,33,0,0,7540,8.6542,2,0
105,3,1,37,2,0,3101276,7.925,2,0
106,3,1,28,0,0,349207,7.8958,2,0
107,3,0,21,0,0,343120,7.65,2,1
108,3,1,30,0,0,312991,7.775,2,1
109,3,1,38,0,0,349249,7.8958,2,0
110,3,0,21,1,0,371110,24.15,1,1
111,1,1,47,0,0,110465,52,2,0
112,3,0,14.5,1,0,2665,14.4542,0,0
113,3,1,22,0,0,324669,8.05,2,0
114,3,0,20,1,0,4136,9.825,2,0
115,3,0,17,0,0,2627,14.4583,0,0
116,3,1,21,0,0,3101294,7.925,2,0
117,3,1,70.5,0,0,370369,7.75,1,0
118,2,1,29,1,0,11668,21,2,0
119,1,1,24,0,1,17558,247.5208,0,0
120,3,0,2,4,2,347082,31.275,2,0
121,2,1,21,2,0,14879,73.5,2,0
122,3,1,30,0,0,54510,8.05,2,0
123,2,1,32.5,1,0,237736,30.0708,0,0
124,2,0,32.5,0,0,27267,13,2,1
125,1,1,54,0,1,35281,77.2875,2,0
126,3,1,12,1,0,2651,11.2417,0,1
127,3,1,30,0,0,370372,7.75,1,0
128,3,1,24,0,0,17369,7.1417,2,1
129,3,0,21,1,1,2668,22.3583,0,1
130,3,1,45,0,0,347061,6.975,2,0
131,3,1,33,0,0,349241,7.8958,0,0
132,3,1,20,0,0,3101307,7.05,2,0
133,3,0,47,1,0,3337,14.5,2,0
134,2,0,29,1,0,228414,26,2,1
135,2,1,25,0,0,29178,13,2,0
136,2,1,23,0,0,2133,15.0458,0,0
137,1,0,19,0,2,11752,26.2833,2,1
138,1,1,37,1,0,113803,53.1,2,0
139,3,1,16,0,0,7534,9.2167,2,0
140,1,1,24,0,0,17593,79.2,0,0
141,3,0,35,0,2,2678,15.2458,0,0
142,3,0,22,0,0,347081,7.75,2,1
143,3,0,24,1,0,3101279,15.85,2,1
144,3,1,19,0,0,365222,6.75,1,0
145,2,1,18,0,0,231945,11.5,2,0
146,2,1,19,1,1,33112,36.75,2,0
147,3,1,27,0,0,350043,7.7958,2,1
148,3,0,9,2,2,6608,34.375,2,0
149,2,1,36.5,0,2,230080,26,2,0
150,2,1,42,0,0,244310,13,2,0
151,2,1,51,0,0,1166,12.525,2,0
152,1,0,22,1,0,113776,66.6,2,1
153,3,1,55.5,0,0,11206,8.05,2,0
154,3,1,40.5,0,2,851,14.5,2,0
155,3,1,30,0,0,265302,7.3125,2,0
156,1,1,51,0,1,17597,61.3792,0,0
157,3,0,16,0,0,35851,7.7333,1,1
158,3,1,30,0,0,392090,8.05,2,0
159,3,1,30,0,0,315037,8.6625,2,0
160,3,1,3.5,8,2,2343,69.55,2,0
161,3,1,44,0,1,371362,16.1,2,0
162,2,0,40,0,0,33595,15.75,2,1
163,3,1,26,0,0,347068,7.775,2,0
164,3,1,17,0,0,315093,8.6625,2,0
165,3,1,1,4,1,3101295,39.6875,2,0
166,3,1,9,0,2,363291,20.525,2,1
167,1,0,35,0,1,113505,55,2,1
168,3,0,45,1,4,347088,27.9,2,0
169,1,1,30,0,0,17318,25.925,2,0
170,3,1,28,0,0,1601,56.4958,2,0
171,1,1,61,0,0,111240,33.5,2,0
172,3,1,4,4,1,382652,29.125,1,0
173,3,0,1,1,1,347742,11.1333,2,1
174,3,1,21,0,0,3101280,7.925,2,0
175,1,1,56,0,0,17764,30.6958,0,0
176,3,1,18,1,1,350404,7.8542,2,0
177,3,1,3.5,3,1,4133,25.4667,2,0
178,1,0,50,0,0,17595,28.7125,0,0
179,2,1,30,0,0,250653,13,2,0
180,3,1,36,0,0,0,0,2,0
181,3,0,21,8,2,2343,69.55,2,0
182,2,1,30,0,0,2131,15.05,0,0
183,3,1,9,4,2,347077,31.3875,2,0
184,2,1,1,2,1,230136,39,2,1
185,3,0,4,0,2,315153,22.025,2,1
186,1,1,30,0,0,113767,50,2,0
187,3,0,35,1,0,370365,15.5,1,1
188,1,1,45,0,0,111428,26.55,2,1
189,3,1,40,1,1,364849,15.5,1,0
190,3,1,36,0,0,349247,7.8958,2,0
191,2,0,32,0,0,234604,13,2,1
192,2,1,19,0,0,28424,13,2,0
193,3,0,19,1,0,350046,7.8542,2,1
194,2,1,3,1,1,230080,26,2,1
195,1,0,44,0,0,17610,27.7208,0,1
196,1,0,58,0,0,17569,146.5208,0,1
197,3,1,30,0,0,368703,7.75,1,0
198,3,1,42,0,1,4579,8.4042,2,0
199,3,0,21,0,0,370370,7.75,1,1
200,2,0,24,0,0,248747,13,2,0
201,3,1,28,0,0,345770,9.5,2,0
202,3,1,30,8,2,2343,69.55,2,0
203,3,1,34,0,0,3101264,6.4958,2,0
204,3,1,45.5,0,0,2628,7.225,0,0
205,3,1,18,0,0,3540,8.05,2,1
206,3,0,2,0,1,347054,10.4625,2,0
207,3,1,32,1,0,3101278,15.85,2,0
208,3,1,26,0,0,2699,18.7875,0,1
209,3,0,16,0,0,367231,7.75,1,1
210,1,1,40,0,0,112277,31,0,1
211,3,1,24,0,0,3101311,7.05,2,0
212,2,0,35,0,0,13528,21,2,1
213,3,1,22,0,0,21174,7.25,2,0
214,2,1,30,0,0,250646,13,2,0
215,3,1,30,1,0,367229,7.75,1,0
216,1,0,31,1,0,35273,113.275,0,1
217,3,0,27,0,0,3101283,7.925,2,1
218,2,1,42,1,0,243847,27,2,0
219,1,0,32,0,0,11813,76.2917,0,1
220,2,1,30,0,0,14208,10.5,2,0
221,3,1,16,0,0,392089,8.05,2,1
222,2,1,27,0,0,220367,13,2,0
223,3,1,51,0,0,21440,8.05,2,0
224,3,1,30,0,0,349234,7.8958,2,0
225,1,1,38,1,0,19943,90,2,1
226,3,1,22,0,0,4348,9.35,2,0
227,2,1,19,0,0,751,10.5,2,1
228,3,1,20.5,0,0,21173,7.25,2,0
229,2,1,18,0,0,236171,13,2,0
230,3,0,21,3,1,4133,25.4667,2,0
231,1,0,35,1,0,36973,83.475,2,1
232,3,1,29,0,0,347067,7.775,2,0
233,2,1,59,0,0,237442,13.5,2,0
234,3,0,5,4,2,347077,31.3875,2,1
235,2,1,24,0,0,29566,10.5,2,0
236,3,0,21,0,0,6609,7.55,2,0
237,2,1,44,1,0,26707,26,2,0
238,2,0,8,0,2,31921,26.25,2,1
239,2,1,19,0,0,28665,10.5,2,0
240,2,1,33,0,0,1585,12.275,2,0
241,3,0,21,1,0,2665,14.4542,0,0
242,3,0,21,1,0,367230,15.5,1,1
243,2,1,29,0,0,14263,10.5,2,0
244,3,1,22,0,0,3101275,7.125,2,0
245,3,1,30,0,0,2694,7.225,0,0
246,1,1,44,2,0,19928,90,1,0
247,3,0,25,0,0,347071,7.775,2,0
248,2,0,24,0,2,250649,14.5,2,1
249,1,1,37,1,1,11751,52.5542,2,1
250,2,1,54,1,0,244252,26,2,0
251,3,1,30,0,0,362316,7.25,2,0
252,3,0,29,1,1,347054,10.4625,2,0
253,1,1,62,0,0,113514,26.55,2,0
254,3,1,30,1,0,3336,16.1,2,0
255,3,0,41,0,2,370129,20.2125,2,0
256,3,0,29,0,2,2650,15.2458,0,1
257,1,0,35,0,0,17585,79.2,0,1
258,1,0,30,0,0,110152,86.5,2,1
259,1,0,35,0,0,17755,512.3292,0,1
260,2,0,50,0,1,230433,26,2,1
261,3,1,30,0,0,384461,7.75,1,0
262,3,1,3,4,2,347077,31.3875,2,1
263,1,1,52,1,1,110413,79.65,2,0
264,1,1,40,0,0,112059,0,2,0
265,3,0,21,0,0,382649,7.75,1,0
266,2,1,36,0,0,17248,10.5,2,0
267,3,1,16,4,1,3101295,39.6875,2,0
268,3,1,25,1,0,347083,7.775,2,1
269,1,0,58,0,1,17582,153.4625,2,1
270,1,0,35,0,0,17760,135.6333,2,1
271,1,1,30,0,0,113798,31,2,0
272,3,1,25,0,0,0,0,2,1
273,2,0,41,0,1,250644,19.5,2,1
274,1,1,37,0,1,17596,29.7,0,0
275,3,0,21,0,0,370375,7.75,1,1
276,1,0,63,1,0,13502,77.9583,2,1
277,3,0,45,0,0,347073,7.75,2,0
278,2,1,30,0,0,239853,0,2,0
279,3,1,7,4,1,382652,29.125,1,0
280,3,0,35,1,1,2673,20.25,2,1
281,3,1,65,0,0,336439,7.75,1,0
282,3,1,28,0,0,347464,7.8542,2,0
283,3,1,16,0,0,345778,9.5,2,0
284,3,1,19,0,0,10482,8.05,2,1
285,1,1,30,0,0,113056,26,2,0
286,3,1,33,0,0,349239,8.6625,0,0
287,3,1,30,0,0,345774,9.5,2,1
288,3,1,22,0,0,349206,7.8958,2,0
289,2,1,42,0,0,237798,13,2,1
290,3,0,22,0,0,370373,7.75,1,1
291,1,0,26,0,0,19877,78.85,2,1
292,1,0,19,1,0,11967,91.0792,0,1
293,2,1,36,0,0,2163,12.875,0,0
294,3,0,24,0,0,349236,8.85,2,0
295,3,1,24,0,0,349233,7.8958,2,0
296,1,1,30,0,0,17612,27.7208,0,0
297,3,1,23.5,0,0,2693,7.2292,0,0
298,1,0,2,1,2,113781,151.55,2,0
299,1,1,30,0,0,19988,30.5,2,1
300,1,0,50,0,1,17558,247.5208,0,1
301,3,0,21,0,0,9234,7.75,1,1
302,3,1,30,2,0,367226,23.25,1,1
303,3,1,19,0,0,0,0,2,0
304,2,0,21,0,0,226593,12.35,1,1
305,3,1,30,0,0,2466,8.05,2,0
306,1,1,0.92,1,2,113781,151.55,2,1
307,1,0,21,0,0,17421,110.8833,0,1
308,1,0,17,1,0,17758,108.9,0,1
309,2,1,30,1,0,3381,24,0,0
310,1,0,30,0,0,17485,56.9292,0,1
311,1,0,24,0,0,11767,83.1583,0,1
312,1,0,18,2,2,17608,262.375,0,1
313,2,0,26,1,1,250651,26,2,0
314,3,1,28,0,0,349243,7.8958,2,0
315,2,1,43,1,1,13529,26.25,2,0
316,3,0,26,0,0,347470,7.8542,2,1
317,2,0,24,1,0,244367,26,2,1
318,2,1,54,0,0,29011,14,2,0
319,1,0,31,0,2,36928,164.8667,2,1
320,1,0,40,1,1,16966,134.5,0,1
321,3,1,22,0,0,21172,7.25,2,0
322,3,1,27,0,0,349219,7.8958,2,0
323,2,0,30,0,0,234818,12.35,1,1
324,2,0,22,1,1,248738,29,2,1
325,3,1,30,8,2,2343,69.55,2,0
326,1,0,36,0,0,17760,135.6333,0,1
327,3,1,61,0,0,345364,6.2375,2,0
328,2,0,36,0,0,28551,13,2,1
329,3,0,31,1,1,363291,20.525,2,1
330,1,0,16,0,1,111361,57.9792,0,1
331,3,0,21,2,0,367226,23.25,1,1
332,1,1,45.5,0,0,113043,28.5,2,0
333,1,1,38,0,1,17582,153.4625,2,0
334,3,1,16,2,0,345764,18,2,0
335,1,0,35,1,0,17611,133.65,2,1
336,3,1,30,0,0,349225,7.8958,2,0
337,1,1,29,1,0,113776,66.6,2,0
338,1,0,41,0,0,16966,134.5,0,1
339,3,1,45,0,0,7598,8.05,2,1
340,1,1,45,0,0,113784,35.5,2,0
341,2,1,2,1,1,230080,26,2,1
342,1,0,24,3,2,19950,263,2,1
343,2,1,28,0,0,248740,13,2,0
344,2,1,25,0,0,244361,13,2,0
345,2,1,36,0,0,229236,13,2,0
346,2,0,24,0,0,248733,13,2,1
347,2,0,40,0,0,31418,13,2,1
348,3,0,35,1,0,386525,16.1,2,1
349,3,1,3,1,1,37671,15.9,2,1
350,3,1,42,0,0,315088,8.6625,2,0
351,3,1,23,0,0,7267,9.225,2,0
352,1,1,30,0,0,113510,35,2,0
353,3,1,15,1,1,2695,7.2292,0,0
354,3,1,25,1,0,349237,17.8,2,0
355,3,1,30,0,0,2647,7.225,0,0
356,3,1,28,0,0,345783,9.5,2,0
357,1,0,22,0,1,113505,55,2,1
358,2,0,38,0,0,237671,13,2,0
359,3,0,21,0,0,330931,7.8792,1,1
360,3,0,21,0,0,330980,7.8792,1,1
361,3,1,40,1,4,347088,27.9,2,0
362,2,1,29,1,0,2167,27.7208,0,0
363,3,0,45,0,1,2691,14.4542,0,0
364,3,1,35,0,0,3101310,7.05,2,0
365,3,1,30,1,0,370365,15.5,1,0
366,3,1,30,0,0,7076,7.25,2,0
367,1,0,60,1,0,110813,75.25,0,1
368,3,0,35,0,0,2626,7.2292,0,1
369,3,0,21,0,0,14313,7.75,1,1
370,1,0,24,0,0,17477,69.3,0,1
371,1,1,25,1,0,11765,55.4417,0,1
372,3,1,18,1,0,3101267,6.4958,2,0
373,3,1,19,0,0,323951,8.05,2,0
374,1,1,22,0,0,17760,135.6333,0,0
375,3,0,3,3,1,349909,21.075,2,0
376,1,0,35,1,0,17604,82.1708,0,1
377,3,0,22,0,0,7077,7.25,2,1
378,1,1,27,0,2,113503,211.5,0,0
379,3,1,20,0,0,2648,4.0125,0,0
380,3,1,19,0,0,347069,7.775,2,0
381,1,0,42,0,0,17757,227.525,0,1
382,3,0,1,0,2,2653,15.7417,0,1
383,3,1,32,0,0,3101293,7.925,2,0
384,1,0,35,1,0,113789,52,2,1
385,3,1,30,0,0,349227,7.8958,2,0
386,2,1,18,0,0,14879,73.5,2,0
387,3,1,1,5,2,2144,46.9,2,0
388,2,0,36,0,0,27849,13,2,1
389,3,1,30,0,0,367655,7.7292,1,0
390,2,0,17,0,0,1748,12,0,1
391,1,1,36,1,2,113760,120,2,1
392,3,1,21,0,0,350034,7.7958,2,1
393,3,1,28,2,0,3101277,7.925,2,0
394,1,0,23,1,0,35273,113.275,0,1
395,3,0,24,0,2,9549,16.7,2,1
396,3,1,22,0,0,350052,7.7958,2,0
397,3,0,31,0,0,350407,7.8542,2,0
398,2,1,46,0,0,28403,26,2,0
399,2,1,23,0,0,244278,10.5,2,0
400,2,0,28,0,0,240929,12.65,2,1
401,3,1,39,0,0,3101289,7.925,2,1
402,3,1,26,0,0,341826,8.05,2,0
403,3,0,21,1,0,4137,9.825,2,0
404,3,1,28,1,0,3101279,15.85,2,0
405,3,0,20,0,0,315096,8.6625,2,0
406,2,1,34,1,0,28664,21,2,0
407,3,1,51,0,0,347064,7.75,2,0
408,2,1,3,1,1,29106,18.75,2,1
409,3,1,21,0,0,312992,7.775,2,0
410,3,0,21,3,1,4133,25.4667,2,0
411,3,1,30,0,0,349222,7.8958,2,0
412,3,1,30,0,0,394140,6.8583,1,0
413,1,0,33,1,0,19928,90,1,1
414,2,1,30,0,0,239853,0,2,0
415,3,1,44,0,0,3101269,7.925,2,1
416,3,0,35,0,0,343095,8.05,2,0
417,2,0,34,1,1,28220,32.5,2,1
418,2,0,18,0,2,250652,13,2,1
419,2,1,30,0,0,28228,13,2,0
420,3,0,10,0,2,345773,24.15,2,0
421,3,1,30,0,0,349254,7.8958,0,0
422,3,1,21,0,0,13032,7.7333,1,0
423,3,1,29,0,0,315082,7.875,2,0
424,3,0,28,1,1,347080,14.4,2,0
425,3,1,18,1,1,370129,20.2125,2,0
426,3,1,30,0,0,34244,7.25,2,0
427,2,0,28,1,0,2003,26,2,1
428,2,0,19,0,0,250655,26,2,1
429,3,1,30,0,0,364851,7.75,1,0
430,3,1,32,0,0,392078,8.05,2,1
431,1,1,28,0,0,110564,26.55,2,1
432,3,0,35,1,0,376564,16.1,2,1
433,2,0,42,1,0,3085,26,2,1
434,3,1,17,0,0,3101274,7.125,2,0
435,1,1,50,1,0,13507,55.9,2,0
436,1,0,14,1,2,113760,120,2,1
437,3,0,21,2,2,6608,34.375,2,0
438,2,0,24,2,3,29106,18.75,2,1
439,1,1,64,1,4,19950,263,2,0
440,2,1,31,0,0,18723,10.5,2,0
441,2,0,45,1,1,13529,26.25,2,1
442,3,1,20,0,0,345769,9.5,2,0
443,3,1,25,1,0,347076,7.775,2,0
444,2,0,28,0,0,230434,13,2,1
445,3,1,30,0,0,65306,8.1125,2,1
